Estimate,Estimate
Prior_Estimate,Prior Estimate
Prior_Estimate_2,Prior Estimate 2
Plan,Plan
Actuals,Actuals
Draft,Draft
Estimate_Submission,Estimate Submission
Plan_Iteration_1,Plan Iteration 1
Plan_Iteration_2,Plan Iteration 2
Plan_Submission,Plan Submission
Estimate_Game_Units,Estimate
Estimate_Submission_Game_Units,Estimate Submission
Prior_Estimate_Game_Units,Prior Estimate
Prior_Estimate_2_Game_Units,Prior Estimate 2
Plan_Game_Units,Plan
Plan_Submission_Game_Units,Plan Submission
Plan_Iteration_1_Game_Units,Plan Iteration 1
Plan_Iteration_2_Game_Units,Plan Iteration 2
Actuals_Game_Units,Actuals
Draft_Game_Units,Draft
